Are you currently living on campus or commuting?,Are you currently working for pay?,"At this point in the semester, how certain are you that you will remain at RIC through the end of the academic year?","Compared to your expectations before the semester, would you say your workload is:",Do you feel a sense of belonging at RIC?,Do you feel organized and prepared for your academic workload?,Have you joined or participated in any of the following activities at RIC? (Check all that apply),"How confident are you in knowing where to go for academic support (e.g., tutoring, writing center, advising)?","How confident are you in knowing where to go for personal support (e.g., counseling, wellness services, basic needs)?",How do you feel you have been making friends and building connections so far?,How well do you feel you are balancing your academic responsibilities with your work and personal commitments?,How would you describe your sense of belonging at Rhode Island College so far?,"If yes, how many hours per week are you working?","In the past 6 weeks, have you felt any of the following ? (Check all that apply)",Is there anything that would help you feel more successful at RIC right now?,"On average, how many hours per week are you currently spending in co-curricular activities (clubs, organizations, athletics, etc.)?",What has been your biggest challenge during the first six weeks?,What has been your biggest success during the first six weeks?
Commute to RIC,"Yes, off campus",Very certain,About the same,Agree,true,Other,Very confident,Very confident,"I have made a few friends, but not strong connections yet.",Very well,I feel a strong sense of belonging.,21+,Overwhelmed by coursework,nope,0 hours,My biggest challenge during my first week was adopting to a different community but luckily for me this community has made me felt at home ,"My biggest success during my first six weeks was knowing my classes, getting to understand how college work ."
Commute to RIC,"Yes, off campus",Very certain,About the same,Strongly agree,true,Attended a Campus Event,Neutral,Neutral,I have made many close friends and strong connections.,Very well,I feel a strong sense of belonging.,21+,Overwhelmed by coursework,,0 hours,Being on top of my assignments and finding them in blackboard.,Being able to manage my time with my homework and studying.
Commute to RIC,"Yes, off campus",Very certain,Slightly lighter,Strongly agree,true,Other,Very confident,Very confident,I have made some friends and connections.,Very well,I feel a strong sense of belonging.,21+,Overwhelmed by non-academic responsibilities,,0 hours,Wanting to attend first-year seminar because of how long it is. ,Staying on top of work and submitting my assignments on time. 
Commute to RIC,"Yes, off campus",Certain,Slightly heavier,Neutral,true,Attended a Campus Event,Neutral,Neutral,I am struggling to make friends or connections.,Neutral,I feel neutral.,21+,Overwhelmed by coursework,Not right now. ,0 hours,My biggest challenge is staying focus on my work while working on it from home. ,My biggest success is getting to my classes on time and not being late to any. 
Commute to RIC,"Yes, off campus",Very certain,Slightly heavier,Neutral,true,Attended a Campus Event,Somewhat confident,Somewhat confident,I am struggling to make friends or connections.,Neutral,I feel neutral.,21+,"Lonely;
Overwhelmed by coursework;
Overwhelmed by non-academic responsibilities",,0 hours,My biggest challenge has been coming to school everyday,Getting my assignments done on time.
Commute to RIC,"Yes, off campus",Very certain,Slightly heavier,Neutral,true,Other,Somewhat confident,Somewhat confident,"I have made a few friends, but not strong connections yet.",Neutral,I feel neutral.,21+,Overwhelmed by coursework,Nothing ,0 hours,Biggest challenge during my six week is the assignments and I tend to procrastinate ,My biggest success is having all A in all my classes 
Commute to RIC,"Yes, off campus",Certain,Slightly lighter,Neutral,true,Other,Somewhat confident,Somewhat confident,"I have made a few friends, but not strong connections yet.",Neutral,I feel neutral.,21+,Overwhelmed by non-academic responsibilities,no ,0 hours,remembering my schedule,finishing my assignment on time sometimes early. 
Commute to RIC,"Yes, off campus",Neutral/Unsure,Much lighter,Agree,false,Other,Neutral,Very confident,"I have made a few friends, but not strong connections yet.",Neutral,I feel neutral.,21+,"Overwhelmed by coursework;
Overwhelmed by non-academic responsibilities",Not really,0 hours,My biggest challenge is navigating where to find my work and procrastination. So ultimately feeling lost with my homework/assignments.  ,For the most part I have never missed a class other than for important circumstances. 
Living on Campus,"Yes, off campus",Certain,Slightly heavier,Neutral,false,"Community service or volunteer work;
Other",Neutral,Neutral,I have made some friends and connections.,Neutral,I feel neutral.,21+,"Lonely;
Overwhelmed by coursework",no that is all. ,0 hours,getting all my notes ,been going ot class
Commute to RIC,"Yes, off campus",Very certain,Slightly lighter,Neutral,true,Attended a Campus Event,Neutral,Neutral,I have made some friends and connections.,Neutral,I feel neutral.,21+,Lonely,no,0 hours,Staying on top of work ,My biggest success during the first six weeks are coming to school and not missing a day of class
Commute to RIC,"Yes, off campus",Certain,Slightly heavier,Neutral,true,Attended a Campus Event,Very confident,Very confident,I have not made any friends or connections.,Neutral,I feel neutral.,21+,"Overwhelmed by coursework;
Overwhelmed by non-academic responsibilities",If professors made time in class to the work in class than at home,0 hours,"toppling work from school , work life and home life ",No big success yet
Commute to RIC,"Yes, off campus",Certain,Slightly heavier,Neutral,false,Attended a Campus Event,Somewhat confident,Neutral,"I have made a few friends, but not strong connections yet.",Not well,I feel neutral.,21+,"Overwhelmed by coursework;
Overwhelmed by non-academic responsibilities",,0 hours,My biggest challenge is learning how to manage my time ,My biggest success has been showing up consistently to all my classes
Commute to RIC,"Yes, off campus",Certain,Slightly lighter,Neutral,false,Attended a Campus Event,Somewhat confident,Neutral,"I have made a few friends, but not strong connections yet.",Not well,I feel neutral.,21+,Overwhelmed by coursework,Overall just knowing how to manage and get all of my work done. Also being able to confidently know how to correctly turn in assignments ,0 hours,Figuring out how to work certain tic websites for information. Also figuring out how to turn things in as a form of a word doc or pdf.,Making sure that I know what needs to be done for all of my classes.
Commute to RIC,"Yes, off campus",Certain,Slightly heavier,Neutral,false,Other,Not very confident,Not very confident,I have made some friends and connections.,Not well,I feel neutral.,21+,"Overwhelmed by coursework;
Overwhelmed by non-academic responsibilities",Being able to relax ,0 hours,Managing work and school has not been easy and stressful  ,Getting a b on my essay 
Commute to RIC,"Yes, off campus",Very certain,Slightly lighter,Neutral,true,Religious/spiritual groups,Somewhat confident,Not very confident,I have not made any friends or connections.,Poorly,I feel neutral.,21+,Overwhelmed by coursework,Availability of more tutor may help me learn more about the assignments and course stuff as I never get appointment from tutors when I need it,0 hours,I faced some of the issues in time management. I couldn't focus on my studies with full time job so I decided to leave my job but at the same time I'm looking for part-time job at campus. But I couldn't applied because i don't know what type of job i can do.,I learned more about AI and I'm really learning a lot about new things i love it. I love being a student of bilingual class. She is so nice and co operative she guides me about the stuff I need to know.
Commute to RIC,"Yes, off campus",Very certain,About the same,Neutral,true,Other,Somewhat confident,Somewhat confident,"I have made a few friends, but not strong connections yet.",Very well,I feel neutral.,21+,"Lonely;
Overwhelmed by coursework;
Overwhelmed by non-academic responsibilities",No ,0 hours,Making friends ,Staying on top of all my work 
Commute to RIC,"Yes, off campus",Very certain,About the same,Neutral,true,Attended a Campus Event,Somewhat confident,Neutral,I am struggling to make friends or connections.,Well,I feel neutral.,21+,Lonely,,0 hours,The traffic getting to school,Not procastinating
Commute to RIC,"Yes, off campus",Very certain,Slightly lighter,Neutral,true,Other,Somewhat confident,Very confident,I am struggling to make friends or connections.,Well,I feel neutral.,21+,"Overwhelmed by coursework;
Overwhelmed by non-academic responsibilities",,0 hours,Adjusting to my classes ,I scored a 100 on my psychology quiz
Commute to RIC,"Yes, off campus",Certain,About the same,Neutral,true,Attended a Campus Event,Neutral,Neutral,"I have made a few friends, but not strong connections yet.",Well,I feel neutral.,21+,Overwhelmed by non-academic responsibilities,,0 hours,"Time management, procrastination",I have actually been able to get 6-8 hours of sleep every night.
Commute to RIC,"Yes, off campus",Neutral/Unsure,About the same,Neutral,true,Other,Neutral,Neutral,"I have made a few friends, but not strong connections yet.",Well,I feel neutral.,21+,"Overwhelmed by coursework;
Overwhelmed by non-academic responsibilities",,0 hours,Keeping everything organized.,keeping up with my classes.
Living on Campus,"Yes, off campus",Neutral/Unsure,Much heavier,Neutral,true,Other,Neutral,Neutral,"I have made a few friends, but not strong connections yet.",Well,I feel neutral.,21+,Overwhelmed by coursework,no,0 hours,Trying to work around my school schedule and work schedule since they wouldn't let me switch my school schedule. ,Getting work done before it is due. 
Living on Campus,"Yes, off campus",Very certain,Much lighter,Agree,true,Attended a Campus Event,Somewhat confident,Somewhat confident,"I have made a few friends, but not strong connections yet.",Well,I feel neutral.,21+,Homesick,,0 hours,Waking up early,Studying
Commute to RIC,"Yes, off campus",Very certain,About the same,Neutral,true,Other,Somewhat confident,Somewhat confident,"I have made a few friends, but not strong connections yet.",Well,I feel neutral.,21+,Overwhelmed by coursework,No,0 hours,"My math class, I have to teach myself everything.",Learning how to adjust to college on my own.
Commute to RIC,"Yes, off campus",Certain,Much heavier,Neutral,true,Other,Very confident,Very confident,"I have made a few friends, but not strong connections yet.",Well,I feel neutral.,21+,Overwhelmed by coursework,no,0 hours,studying,being able to make every class as a commuter
Commute to RIC,"Yes, off campus",Very certain,About the same,Agree,true,Other,Somewhat confident,Somewhat confident,I have made some friends and connections.,Well,I feel neutral.,21+,"Lonely;
Overwhelmed by coursework;
Overwhelmed by non-academic responsibilities",not really. ,0 hours,Waking too early for classes and as well being focused when doing assignments ,Getting good/decent grades on my exams and quizzes for my General Chemistry 1 and Crime and criminal justice classes. 
Commute to RIC,"Yes, off campus",Certain,Much heavier,Neutral,true,Other,Somewhat confident,Somewhat confident,I have made some friends and connections.,Well,I feel neutral.,21+,Overwhelmed by coursework,no,0 hours,work load,organization
Commute to RIC,"Yes, off campus",Very certain,Much heavier,Neutral,true,Other,Neutral,Neutral,I have not made any friends or connections.,Well,I feel neutral.,21+,"Overwhelmed by coursework;
Overwhelmed by non-academic responsibilities",Nope,0 hours,"My biggest challenge has been balancing work, school, and homework. ",Completing most of my assignments on time. 
Living on Campus,"Yes, off campus",Certain,About the same,Agree,true,Other,Neutral,Neutral,"I have made a few friends, but not strong connections yet.",Neutral,I feel somewhat connected.,21+,Overwhelmed by non-academic responsibilities,N/A,0 hours,My biggest challenge has been managing my time correctly.,My biggest success is getting my work done.
Commute to RIC,"Yes, off campus",Very certain,Slightly heavier,Agree,true,Attended a Campus Event,Somewhat confident,Somewhat confident,"I have made a few friends, but not strong connections yet.",Neutral,I feel somewhat connected.,21+,Overwhelmed by coursework,,0 hours,My anatomy lecture,My practical test.
Living on Campus,"Yes, off campus",Very certain,About the same,Agree,true,Attended a Campus Event,Somewhat confident,Somewhat confident,I have made many close friends and strong connections.,Neutral,I feel somewhat connected.,21+,"Homesick;
Overwhelmed by coursework",,0 hours,Doing all my work by the time its due,Going to all my classes
Commute to RIC,"Yes, off campus",Very certain,About the same,Agree,true,Attended a Campus Event,Neutral,Neutral,I have made some friends and connections.,Neutral,I feel somewhat connected.,21+,Overwhelmed by coursework,No.,0 hours,Staying on top of my work.,I been able to turn assignments in on time and stay focused. I also completed my first paper not to long ago. 
Commute to RIC,"Yes, off campus",Certain,Slightly heavier,Agree,true,Attended a Campus Event,Somewhat confident,Somewhat confident,I have made some friends and connections.,Neutral,I feel somewhat connected.,21+,Overwhelmed by coursework,No everything is good so far,0 hours,Staying on point with class due to missing some since I was sick.,Studying before the class and being on time
Commute to RIC,"Yes, off campus",Very certain,About the same,Neutral,true,Attended a Campus Event,Somewhat confident,Somewhat confident,I have made some friends and connections.,Neutral,I feel somewhat connected.,21+,Overwhelmed by non-academic responsibilities,,0 hours,My biggest challenge so far is finding time to study.,My biggest success is doing well in quizzes. 
Commute to RIC,"Yes, off campus",Very certain,Slightly lighter,Agree,true,Other,Neutral,Not very confident,I have not made any friends or connections.,Neutral,I feel somewhat connected.,21+,"Lonely;
Overwhelmed by coursework;
Overwhelmed by non-academic responsibilities",making friends and counseling,0 hours,feeling stressed about getting everything done,staying on top of tasks
Living on Campus,"Yes, off campus",Very certain,About the same,Strongly agree,true,"Attended a Campus Event;
Other",Somewhat confident,Somewhat confident,I have not made any friends or connections.,Neutral,I feel somewhat connected.,21+,"Lonely;
Overwhelmed by coursework",,0 hours,Making friends ,Passing my short quizzes 
Commute to RIC,"Yes, off campus",Very certain,About the same,Agree,true,Other,Somewhat confident,Somewhat confident,I am struggling to make friends or connections.,Not well,I feel somewhat connected.,21+,Lonely,,0 hours,Trying to keep awake.,To not confuse on my classes.
Commute to RIC,"Yes, off campus",Certain,About the same,Agree,true,Attended a Campus Event,Neutral,Not very confident,I am struggling to make friends or connections.,Well,I feel somewhat connected.,21+,Overwhelmed by non-academic responsibilities,"make connection and try to have more free time
",0 hours,"come to ric, because the buses keep changing their hours and it became hard to come here but I try my best to be on time on my classes. ",My biggest succes has been s a student because when I was on high school I would procratinate so much but now I try to do it everthing on time 
Commute to RIC,"Yes, off campus",Very certain,Much lighter,Agree,true,Other,Neutral,Somewhat confident,"I have made a few friends, but not strong connections yet.",Well,I feel somewhat connected.,21+,Overwhelmed by non-academic responsibilities,no,0 hours,getting up for class,my biggest success is being able to get to class
Commute to RIC,"Yes, off campus",Very certain,Slightly lighter,Agree,true,Attended a Campus Event,Somewhat confident,Very confident,"I have made a few friends, but not strong connections yet.",Well,I feel somewhat connected.,21+,Lonely,"Nothing really! Also for question 13, I couldn't save and submit without  selecting one of the options. I'm not lonely I promise!!!",0 hours,"On top of coming back to school I work a full time job, so needless to say my energy levels are out of whack. The adjustment of time allocation and energy allocation has been tough to balance, but not impossible in the slightest.",Creating a schedule that helps me stay on track and organized! Breaking everything down day by day has really helped me stay above water and not feeling overwhelmed! 
Commute to RIC,"Yes, off campus",Very certain,Slightly lighter,Agree,true,Other,Very confident,Very confident,"I have made a few friends, but not strong connections yet.",Well,I feel somewhat connected.,21+,Overwhelmed by non-academic responsibilities,no,0 hours,My biggest challenge has been grasping some of the content of a few of my classes and making it to school on time.,my biggest success has been staying organized and turning in the assigned work on time.
Living on Campus,"Yes, off campus",Very certain,Much lighter,Agree,true,Attended a Campus Event,Somewhat confident,Somewhat confident,I have made many close friends and strong connections.,Well,I feel somewhat connected.,21+,Homesick,Not at the moment. ,0 hours,One of my biggest challenges is motivation to get to class and checking my email during the first six weeks. ,One of my biggest successes during the first six weeks is completing my assignments. 
Commute to RIC,"Yes, off campus",Certain,Much heavier,Agree,true,Attended a Campus Event,Somewhat confident,Neutral,I have made some friends and connections.,Well,I feel somewhat connected.,21+,Overwhelmed by coursework,,0 hours,Having free time to relax for my mental health,Finishing work on time
Commute to RIC,"Yes, off campus",Very certain,Slightly lighter,Agree,true,"Attended a Campus Event;
Other",Somewhat confident,Somewhat confident,I have made some friends and connections.,Well,I feel somewhat connected.,21+,Overwhelmed by non-academic responsibilities,,0 hours,being able to balance being a full time student while having a full time job.,receiving emails from my professors telling me that I've been doing a good job. 
Commute to RIC,"Yes, off campus",Very certain,Slightly lighter,Neutral,true,Attended a Campus Event,Somewhat confident,Somewhat confident,I have made some friends and connections.,Well,I feel somewhat connected.,21+,Overwhelmed by coursework,There is nothing at the moment! ,0 hours,My biggest challenge has been staying on top of every assignment.,Arriving to class on time and being prepared.
Commute to RIC,"Yes, off campus",Certain,Much heavier,Disagree,true,Other,Not very confident,Neutral,I am struggling to make friends or connections.,Neutral,I feel somewhat disconnected.,21+,Overwhelmed by coursework,no,0 hours,keeping up with history.,My biggest success has been my time management.
Commute to RIC,"Yes, off campus",Very certain,Much lighter,Neutral,true,Attended a Campus Event,Neutral,Neutral,I am struggling to make friends or connections.,Well,I feel somewhat disconnected.,21+,"Lonely;
Overwhelmed by non-academic responsibilities",no,0 hours,my biggest challenge is trying to read my texts before class for a better understanding of what we are going to learn due to me working late.,I passed my social psychology exam.
Commute to RIC,"Yes, off campus",Neutral/Unsure,About the same,Strongly disagree,true,Attended a Campus Event,Not very confident,Not very confident,I am struggling to make friends or connections.,Neutral,I feel very disconnected.,21+,"Lonely;
Overwhelmed by coursework;
Overwhelmed by non-academic responsibilities",,0 hours,actually keeping up with everything ,showing up to class and staying on top of my work 
Commute to RIC,"Yes, both on and off campus",Very uncertain,Slightly heavier,Strongly disagree,false,Other,Very confident,Very confident,I am struggling to make friends or connections.,Neutral,I feel very disconnected.,21+,"Lonely;
Overwhelmed by coursework;
Overwhelmed by non-academic responsibilities",,0 hours,"Friends, workload",Some grades are good
Commute to RIC,"Yes, on campus",Neutral/Unsure,Much heavier,Strongly disagree,false,Other,Neutral,Neutral,I have not made any friends or connections.,Neutral,I feel very disconnected.,21+,"Overwhelmed by coursework;
Overwhelmed by non-academic responsibilities",,0 hours,nothing,nothing
Commute to RIC,"Yes, off campus",Very uncertain,Slightly lighter,Strongly disagree,true,"Athletics (varsity, club, intramural)",Not very confident,Not very confident,I have not made any friends or connections.,Not well,I feel very disconnected.,21+,"Lonely;
Overwhelmed by non-academic responsibilities",no,0 hours,trying to find time to do homework,writing down my schedule so I know when I have time to do homework and when assignments are due
Commute to RIC,"Yes, off campus",Somewhat uncertain,About the same,Strongly disagree,false,Other,Not very confident,Neutral,I have not made any friends or connections.,Poorly,I feel very disconnected.,21+,"Overwhelmed by coursework;
Overwhelmed by non-academic responsibilities",Not really,0 hours,Keeping myself from dropping out,Not dropping out
Commute to RIC,"Yes, off campus",Certain,Slightly heavier,Neutral,true,Attended a Campus Event,Neutral,Not very confident,I am struggling to make friends or connections.,Neutral,I feel neutral.,6–10,Overwhelmed by coursework,Studying better,0 hours,My biggest challenge is finding the motivation to get up on Mondays and go to my 10 am class.,I've been able to understand the work material to all my classes.
Commute to RIC,"Yes, off campus",Neutral/Unsure,About the same,Neutral,false,Other,Somewhat confident,Somewhat confident,"I have made a few friends, but not strong connections yet.",Neutral,I feel neutral.,6–10,"Overwhelmed by coursework;
Overwhelmed by non-academic responsibilities",no ,0 hours,getting used to assignments and how some of them are structured. ,getting to learn the campus and where things are and getting used to my classes. 
Commute to RIC,"Yes, off campus",Very certain,Much heavier,Neutral,true,Attended a Campus Event,Somewhat confident,Somewhat confident,I have not made any friends or connections.,Neutral,I feel neutral.,6–10,Overwhelmed by coursework,No ,0 hours,Being able to focus on studying without any distractions ,Becoming adjusted to college life 
Commute to RIC,"Yes, off campus",Very certain,Slightly lighter,Neutral,true,Attended a Campus Event,Somewhat confident,Somewhat confident,I am struggling to make friends or connections.,Well,I feel neutral.,6–10,Overwhelmed by non-academic responsibilities,no,0 hours,"My biggest challenge during the first six weeks is just getting used to my new schedule. I wake up way later, but I also come home way later which is annoying.","I am surprised by how responsible I've been about time management and getting myself to stop procrastinating. Because of this, I've gotten high A's on all of my quizzes and exams so far, and I am maintaining all A's in all of my classes."
Commute to RIC,"Yes, off campus",Very certain,Slightly lighter,Neutral,true,"Honor societies or academic clubs;
Attended a Campus Event",Neutral,Neutral,"I have made a few friends, but not strong connections yet.",Well,I feel neutral.,6–10,"Overwhelmed by coursework;
Overwhelmed by non-academic responsibilities",,0 hours,My biggest challenge has been making new friends and making sure I am involved. It is also difficult to organize classes with club meetings since they overlap.,Doing amazing on my exams and learning the study methods that work best for me as an Intended Nursing major.
Commute to RIC,"Yes, off campus",Very certain,About the same,Neutral,true,Other,Somewhat confident,Neutral,"I have made a few friends, but not strong connections yet.",Well,I feel neutral.,6–10,Overwhelmed by coursework,,0 hours,"Trying to manage everything going on in life, big adjustment.",Keeping up with the majority of my assignments.
Living on Campus,"Yes, off campus",Neutral/Unsure,About the same,Neutral,true,Attended a Campus Event,Neutral,Somewhat confident,"I have made a few friends, but not strong connections yet.",Well,I feel neutral.,6–10,Overwhelmed by coursework,,0 hours,Being able to manage my time and understand my biology classes,"Making it to class, being able to go to the gym a lot"
Living on Campus,"Yes, off campus",Certain,Slightly heavier,Neutral,true,Other,Somewhat confident,Somewhat confident,"I have made a few friends, but not strong connections yet.",Well,I feel neutral.,6–10,Homesick,n/a,0 hours,Getting adjusted to a different schedule everyday.,I have studied a lot and it has paid off with some of my classes with getting very good grades back.
Commute to RIC,"Yes, off campus",Certain,Slightly heavier,Neutral,true,Attended a Campus Event,Very confident,Neutral,I have made some friends and connections.,Well,I feel neutral.,6–10,Overwhelmed by non-academic responsibilities,no,0 hours,Trying to be active with school,My grades and being able to keep up with all my assignments without feeling to stressed
Commute to RIC,"Yes, off campus",Very certain,About the same,Agree,false,Attended a Campus Event,Somewhat confident,Somewhat confident,I am struggling to make friends or connections.,Neutral,I feel somewhat connected.,6–10,Overwhelmed by coursework,,0 hours,"My biggest challenge right now is organizing all my work and assignments, i've been testing out a few different methods to figure out what works best for me. ",My biggest success so far is finding my flow around the school and my schedule.
Living on Campus,"Yes, off campus",Very certain,Slightly heavier,Agree,false,Religious/spiritual groups,Very confident,Very confident,"I have made a few friends, but not strong connections yet.",Neutral,I feel somewhat connected.,6–10,"Overwhelmed by coursework;
Overwhelmed by non-academic responsibilities",no I js need to get it together,0 hours,being disorganized ,fighting all temptations to drop out. ignoring my doubts
Commute to RIC,"Yes, off campus",Very certain,Slightly heavier,Agree,true,Attended a Campus Event,Neutral,Not at all confident,I have made some friends and connections.,Neutral,I feel somewhat connected.,6–10,"Overwhelmed by coursework;
Overwhelmed by non-academic responsibilities",Just to take some time to study more on my subjects.,0 hours,My psychology exam ,Working with my group
Commute to RIC,"Yes, on campus",Very certain,Slightly heavier,Agree,false,Other,Neutral,Not very confident,I am struggling to make friends or connections.,Not well,I feel somewhat connected.,6–10,"Lonely;
Overwhelmed by coursework;
Overwhelmed by non-academic responsibilities",I think I might need personal support in Ric but I'm afraid to go ,0 hours,My biggest challenge has been doing assignments on my seminar class ,"My biggest success I think has been completing assignments on time. but I do get stress sometimes before completing it and/or during. So far, I have gotten 2 or 3 assignments in late"
Commute to RIC,"Yes, off campus",Certain,About the same,Strongly agree,true,Other,Very confident,Very confident,I have not made any friends or connections.,Very well,I feel somewhat connected.,6–10,Homesick,Nothing ,0 hours,My biggest challenge is getting to make friends which I don't see myself getting some. ,"My biggest success was getting my work done on time, getting in class on time. Getting a planner for all my projects and life goals. "
Commute to RIC,"Yes, off campus",Certain,Slightly lighter,Agree,true,Attended a Campus Event,Somewhat confident,Neutral,I am struggling to make friends or connections.,Well,I feel somewhat connected.,6–10,Overwhelmed by non-academic responsibilities,,0 hours,Having some struggles when it comes to my performance on quizzes. ,Being able to properly take the time to do work and study. 
Living on Campus,"Yes, off campus",Neutral/Unsure,Slightly heavier,Neutral,true,Attended a Campus Event,Somewhat confident,Somewhat confident,"I have made a few friends, but not strong connections yet.",Well,I feel somewhat connected.,6–10,"Lonely;
Overwhelmed by coursework",N/A,0 hours,Trying to keep up with everything.  ,Staying on task.
Commute to RIC,"Yes, off campus",Very certain,Slightly heavier,Neutral,true,Attended a Campus Event,Somewhat confident,Somewhat confident,"I have made a few friends, but not strong connections yet.",Well,I feel somewhat connected.,6–10,"Overwhelmed by coursework;
Overwhelmed by non-academic responsibilities",,0 hours,Keeping up with the workload and procrastination.,Getting assignments in on time and waking up to get to school early.
Living on Campus,"Yes, off campus",Very certain,About the same,Strongly agree,true,Other,Somewhat confident,Somewhat confident,I have made many close friends and strong connections.,Well,I feel somewhat connected.,6–10,Overwhelmed by coursework,no,0 hours,Getting up for class,getting a 100 on a test.
Living on Campus,"Yes, off campus",Very certain,Slightly lighter,Agree,true,Other,Somewhat confident,Very confident,I have made many close friends and strong connections.,Well,I feel somewhat connected.,6–10,Homesick,no everythings perfect,0 hours,being able to find the ablityb to finihs my work on time,being able to not be stressed with my workload
Commute to RIC,"Yes, off campus",Very certain,About the same,Agree,true,Other,Neutral,Neutral,I have made some friends and connections.,Well,I feel somewhat connected.,6–10,Overwhelmed by coursework,no everything is good!,0 hours,having motivation to go to school because of me being a commuters. ,finishing a essay in 2 days because it was about something I liked to write about. 
Commute to RIC,No,Very certain,Slightly lighter,Agree,true,Other,Somewhat confident,Very confident,I have made some friends and connections.,Well,I feel somewhat connected.,6–10,Overwhelmed by non-academic responsibilities,nope.,0 hours,waiting till the last minute to do work,Making it to class and showing up on time
Commute to RIC,"Yes, off campus",Very certain,Slightly lighter,Agree,true,Attended a Campus Event,Very confident,Very confident,I have made some friends and connections.,Well,I feel somewhat connected.,6–10,Lonely,Nope,0 hours,I haven't had much time to myself.,I have submitted most of my assignments on time.
Commute to RIC,"Yes, off campus",Certain,Much heavier,Neutral,false,Other,Somewhat confident,Somewhat confident,I am struggling to make friends or connections.,Neutral,I feel somewhat disconnected.,6–10,"Homesick;
Lonely;
Overwhelmed by coursework;
Overwhelmed by non-academic responsibilities","No, I know where I messed up during my first weeks it is just about finding my motivation to dig myself out of the hole, I put myself in.",0 hours,My biggest challenge was keeping up with homework while making sure I had enough time to study. Like I was studying while doing homework but not getting burnt out I guess is a better way to put it.,"My biggest success at first was thinking I had everything under control, and that I was doing everything at a good pace. But then it fell apart, and I was not prepared for exams, but I am going to go about my next couple weeks different now that I know how exams are and etc. "
Commute to RIC,"Yes, on campus",Certain,Much heavier,Neutral,false,Other,Somewhat confident,Somewhat confident,I have made some friends and connections.,Not well,I feel somewhat disconnected.,6–10,Overwhelmed by coursework,,0 hours,Make time for myself to focus and study,Attending my classes everyday without skipping is my biggest success
Commute to RIC,No,Very certain,Slightly lighter,Strongly agree,false,"Attended a Campus Event;
Other",Somewhat confident,Somewhat confident,I have made many close friends and strong connections.,Neutral,I feel a strong sense of belonging.,,Overwhelmed by coursework,I need to figure out where the office is to talk about my 504 plan,1–5 hours,keeping up with some of the work load,building connections with some fellow students 
Commute to RIC,No,Very certain,Slightly heavier,Strongly agree,true,"Student Government;
Vocational/professional clubs;
Attended a Campus Event",Somewhat confident,Somewhat confident,I have made many close friends and strong connections.,Neutral,I feel a strong sense of belonging.,,Overwhelmed by coursework,,1–5 hours,Time management ,Navigating and networking
Commute to RIC,No,Very certain,Much heavier,Agree,true,Attended a Campus Event,Somewhat confident,Somewhat confident,I have made some friends and connections.,Neutral,I feel a strong sense of belonging.,,"Overwhelmed by coursework;
Overwhelmed by non-academic responsibilities",N/A,1–5 hours,trying to find time to study for multiple exams at once.,I got a 96 on my Bio practical exam.
Living on Campus,No,Neutral/Unsure,About the same,Agree,true,Attended a Campus Event,Somewhat confident,Somewhat confident,I have made many close friends and strong connections.,Very well,I feel a strong sense of belonging.,,"Homesick;
Lonely;
Overwhelmed by coursework;
Overwhelmed by non-academic responsibilities",no clue,1–5 hours,I need to stop getting off task.,I got a 90 on one of my exams.
Commute to RIC,No,Very certain,Much lighter,Strongly agree,true,"Performing arts (band, chorus, theatre);
Honor societies or academic clubs;
Vocational/professional clubs;
Religious/spiritual groups;
Other",Very confident,Very confident,I have made many close friends and strong connections.,Very well,I feel a strong sense of belonging.,,Lonely,Add paper towels to the bathrooms on floor 1 of Craig Lee,1–5 hours,Figuring out whether to eat at the Bistro or Donovan Dining,"Being myself, tutoring other students, finishing writing my book, feeling happy"
Living on Campus,No,Certain,Slightly heavier,Strongly agree,true,"Attended a Campus Event;
Other",Somewhat confident,Somewhat confident,I have made many close friends and strong connections.,Well,I feel a strong sense of belonging.,,Overwhelmed by coursework,,1–5 hours,Keeping up with all of the information.,Learning more effective study methods.
Living on Campus,No,Very certain,Slightly lighter,Agree,true,"Athletics (varsity, club, intramural);
Attended a Campus Event",Somewhat confident,Very confident,I have made many close friends and strong connections.,Well,I feel a strong sense of belonging.,,"Overwhelmed by coursework;
Overwhelmed by non-academic responsibilities",,1–5 hours,My biggest challenge so far has been submitting all of my work on time.,My biggest success has been getting to all of my classes on time.
Commute to RIC,No,Very certain,About the same,Strongly agree,true,"Attended a Campus Event;
Other",Very confident,Very confident,I have made many close friends and strong connections.,Well,I feel a strong sense of belonging.,,Overwhelmed by non-academic responsibilities,nope,1–5 hours,Staying engaged,"Connecting with people, making it to class on time"
Living on Campus,No,Very certain,About the same,Strongly agree,true,"Attended a Campus Event;
Other",Very confident,Neutral,I have made some friends and connections.,Well,I feel a strong sense of belonging.,,Overwhelmed by coursework,,1–5 hours,Learning new study tactics ,I got pretty good grades on my first two exams.
Commute to RIC,No,Very certain,Slightly lighter,Agree,true,Other,Not very confident,Not very confident,I have made some friends and connections.,Well,I feel a strong sense of belonging.,,Overwhelmed by coursework,No ,1–5 hours,transportation since being a commuter.,completing high-quality assignments.
Living on Campus,No,Very certain,Slightly lighter,Agree,true,Other,Somewhat confident,Very confident,I have made some friends and connections.,Well,I feel a strong sense of belonging.,,Homesick,,1–5 hours,Honestly I feel like I haven't faced any challenges. ,My biggest success during the first six weeks was definitely adjusting just fine. 
